Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
192.168.10.101-224.0.0.22-0-0-0,192.168.10.101,0,224.0.0.22,0,0,2022-07-26 16:48:31.813807,13468832,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9651913395311486,1122402.6666666665,2606904.349375723,9102128.0,62.0,1.3468832E7,1122402.6666666665,2606904.349375723,9102128.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9651913395311486,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3968602.0,0.0,3968602.0,3968602.0,9102128.0,0.0,9102128.0,9102128.0,-1,-1,0,0
192.168.10.101-239.255.255.250-61881-1900-17,192.168.10.101,61881,239.255.255.250,1900,17,2022-07-26 16:48:46.131624,22129340,15,0,1941.0,0.0,133.0,123.0,129.4,4.610546915187272,0,0,0,0,87.71160820883046,0.6778331391717964,1580667.142857143,1389219.288029562,3013414.0,94.0,2.212934E7,1580667.142857143,1389219.288029562,3013414.0,94.0,0,0,0,0,0,0,0,0,0,0,0,120,0,0.6778331391717964,0.0,123.0,133.0,129.4,4.610546915187272,21.25714285714287,0,0,0,0,0,0,0,0,0.0,129.4,129.4,0.0,514,4,482,0,0,0,1,129,0,0,0,0,14,8,0,0,0,0,0,0,0,0,-1,-1,0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-26 16:51:34.512782,118992338,262,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.20182244002971,455909.34099616844,913793.4236414296,6407638.0,0.0,1.18992338E8,455909.34099616844,913793.4236414296,6407638.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20182244002971,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.8934093333333332E7,1.7753689589186028E7,3.9208727E7,8433918.0,6107497.666666667,283544.8387474781,6407638.0,5844138.0,-1,-1,0,0
192.168.10.100-192.168.10.1-68-67-17,192.168.10.100,68,192.168.10.1,67,17,2022-07-26 16:48:47.342924,178,1,1,312.0,300.0,312.0,312.0,312.0,0.0,300.0,300.0,300.0,0.0,3438202.2471910114,11235.955056179775,178.0,0.0,178.0,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5617.9775280898875,5617.9775280898875,300.0,312.0,306.0,8.48528137423857,72.0,0,0,0,0,0,0,0,0,1.0,306.0,312.0,300.0,0,0,0,0,0,0,0,156,0,150,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,0
192.168.10.100-224.0.0.22-0-0-0,192.168.10.100,0,224.0.0.22,0,0,2022-07-26 16:48:47.345415,667127,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.99378978815128,133425.4,147677.16074363023,358644.0,5.0,667127.0,133425.4,147677.16074363023,358644.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99378978815128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-26 16:51:56.837429,106856171,4,0,1188.0,0.0,298.0,296.0,297.0,1.154700538379246,0,0,0,0,11.117748173851373,0.0374334955348531,3.5618723666666664E7,1.1978215252073338E7,4.3150844E7,2.180637E7,1.06856171E8,3.5618723666666664E7,1.1978215252073338E7,4.3150844E7,2.180637E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.0374334955348531,0.0,296.0,298.0,297.0,1.154700538379246,1.3333333333333206,0,0,0,0,0,0,0,0,0.0,297.0,297.0,0.0,0,0,0,0,0,0,1,297,0,0,0,0,3,8,0,0,0,0,3.5618723666666664E7,1.1978215252073338E7,4.3150844E7,2.180637E7,-1,-1,0,0
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-26 16:52:05.489670,118261538,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1606608566176435,6570085.444444442,1.299749661105679E7,4.3055785E7,1013387.0,1.18261538E8,6570085.444444442,1.299749661105679E7,4.3055785E7,1013387.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1606608566176435,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8049204.0,89.15155635209068,8049296.0,8049118.0,3.0024755666666664E7,2.0878025284098454E7,4.3055785E7,5944044.0,3,3,0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-26 16:53:34.529123,115902383,265,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.286406829098587,439024.17803030286,795261.8853265769,5891188.0,0.0,1.15902383E8,439024.17803030286,795261.8853265769,5891188.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.286406829098587,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8456108E7,1.9313149531792115E7,5.2112567E7,2.4799649E7,5624909.0,376575.37317514536,5891188.0,5358630.0,-1,-1,0,0
192.168.10.1-192.168.10.101-0-0-1,192.168.10.1,0,192.168.10.101,0,1,2022-07-26 16:53:29.385296,113924912,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17555422820954208,5996047.999999999,1.1584985039725026E7,4.3274167E7,1013267.0,1.13924912E8,5996047.999999999,1.1584985039725026E7,4.3274167E7,1013267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17555422820954208,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8049094.0,346.6713140714126,8049393.0,8048714.0,2.7242837666666668E7,1.9794973065990806E7,4.3274167E7,5117307.0,3,3,0,0
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-26 16:54:07.760325,87234121,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12609744758017336,8723412.1,1.4264564526466122E7,3.8547654E7,1013559.0,8.7234121E7,8723412.1,1.4264564526466122E7,3.8547654E7,1013559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12609744758017336,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8049160.0,0.0,8049160.0,8049160.0,3.5568008E7,4213855.784270743,3.8547654E7,3.2588362E7,3,3,0,0
